destination,days,budget,hotel_cost,travel_cost,food_cost
Manali,5,8000,3000,2000,2000
Manali,6,10000,4000,2500,2500
Manali,4,7000,2500,2000,1500
Goa,4,10000,4000,3000,2000
Goa,5,12000,5000,3500,2500
Goa,3,8000,3000,2500,2000
Jaipur,3,6000,2500,1500,1500
Jaipur,4,8000,3000,2000,2000
Jaipur,2,5000,2000,1200,1200
Delhi,2,4000,1500,1000,1000
Delhi,3,6000,2500,1500,1500
Delhi,4,7000,3000,1800,1800
Mumbai,3,9000,3500,2500,2000
Mumbai,4,11000,4500,3000,2500
Mumbai,2,7000,2500,2000,1500
Shimla,5,9000,3500,2500,2000
Shimla,4,8000,3000,2200,1800
Shimla,3,7000,2500,2000,1500
Udaipur,3,7000,2800,1500,1500
Udaipur,4,9000,3500,2000,2000
Udaipur,2,5000,2000,1200,1200
Agra,2,4000,1500,1000,1000
Agra,3,6000,2500,1500,1500
Agra,4,7000,3000,1800,1800
Varanasi,3,6000,2500,1500,1500
Varanasi,4,8000,3200,2000,2000
Varanasi,2,5000,2000,1200,1200
Kerala,5,12000,5000,3500,2500
Kerala,6,15000,6000,4000,3000
Kerala,4,10000,4000,3000,2000
Darjeeling,4,9000,3500,2500,2000
Darjeeling,5,11000,4500,3000,2500
Darjeeling,3,8000,3000,2500,2000
Rishikesh,3,6000,2500,1500,1500
Rishikesh,4,8000,3000,2000,2000
Rishikesh,2,5000,2000,1200,1200
Ladakh,6,18000,8000,6000,4000
Ladakh,7,20000,9000,7000,4000
Ladakh,5,15000,6000,5000,3000
Ooty,4,8000,3000,2200,1800
Ooty,5,10000,4000,2500,2500
Ooty,3,7000,2500,2000,1500
Andaman,5,20000,9000,7000,4000
Andaman,6,25000,11000,8000,5000
Andaman,4,18000,8000,6000,4000
